"Difference","DeathsPer100k_Female","DeathsPer100k_Male","statistic","p.value","parameter","conf.low","conf.high","method","alternative","description","imputed_missing","type","n_obs_females","n_obs_males"
-2.67701941312475,0.317221329963438,2.99424074308819,-4.09435563115755,0.000146485958928732,52.5898786130665,-3.98867846450404,-1.36536036174546,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 41–50 age group","No","Non-Firearm",336,336
-1.88776611573032,0.376583678288482,2.2643497940188,-3.24081765515112,0.0020156434176424,55.5791161455795,-3.05484257813166,-0.720689653328969,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 51–60 age group","No","Non-Firearm",336,336
-0.461020721586133,0.0924020594048264,0.55342278099096,-1.89095485886196,0.0640474149650695,53.5305766437274,-0.949914762916956,0.0278733197446897,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 61-70 age group","No","Non-Firearm",336,336
-0.0846560557530734,0.00638083999419552,0.0910368957472689,-1.26751376799283,0.211103384234243,47.8658012051463,-0.218954192574302,0.0496420810681553,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 71-80 age group","No","Non-Firearm",336,336
-5.87388974879087,2.54275677067916,8.41664651947002,-12.8210952717967,9.0393010511675e-21,76.7838863046317,-6.78620916620521,-4.96157033137652,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 12–20 age group","Yes","All",336,336
-16.5266874696326,3.68888904218984,20.2155765118224,-17.5748505673615,2.42427597202152e-24,55.4953309318098,-18.4108331308963,-14.6425418083689,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 21–30 age group","Yes","All",336,336
-16.2728431910716,4.37447673595666,20.6473199270283,-17.080176741388,1.0382480094208e-23,55.2712993180734,-18.1819515915982,-14.363734790545,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 31–40 age group","Yes","All",336,336
-17.1744201696626,5.4455233881653,22.6199435578278,-16.0414304736607,6.11482360367207e-23,57.7410416658816,-19.3177215542496,-15.0311187850755,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 41–50 age group","Yes","All",336,336
-17.0273265089648,5.30526322148729,22.3325897304521,-16.2327244284548,7.26592775622586e-23,56.1431157181111,-19.1285089250436,-14.9261440928861,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 51–60 age group","Yes","All",336,336
-12.8816637457973,3.75155406992661,16.6332178157239,-16.3565318805633,6.01305618828304e-23,55.7946589419468,-14.459453551576,-11.3038739400186,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 61-70 age group","Yes","All",336,336
-14.9460824251963,3.15299284676889,18.0990752719651,-14.5932802241466,1.45689737151756e-19,49.5103790853928,-17.0037039463899,-12.8884609040026,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 71-80 age group","Yes","All",336,336
-3.67694555293951,0.874699093250197,4.5516446461897,-10.4618134509211,9.42153000779096e-15,55.6229683175767,-4.38111687360064,-2.97277423227837,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 12–20 age group","Yes","Firearm",336,336
-8.46809460201164,1.61058160668316,10.0786762086948,-15.0047558244537,1.03958143640764e-20,52.9209943494346,-9.60009827974298,-7.33609092428029,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 21–30 age group","Yes","Firearm",336,336
-7.61072030222092,1.91004772059241,9.52076802281333,-14.570313168352,1.06189878862626e-20,55.9817054155915,-8.65710925636942,-6.56433134807243,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 31–40 age group","Yes","Firearm",336,336
-8.5728088446222,2.24455128690559,10.8173601315278,-14.6764108184652,2.42973402139028e-21,58.925998796577,-9.74166421704405,-7.40395347220035,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 41–50 age group","Yes","Firearm",336,336
-10.1540319660162,2.21811455364265,12.3721465196588,-15.2930341006466,1.97593361068668e-21,54.8320834235734,-11.4847381849235,-8.82332574710883,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 51–60 age group","Yes","Firearm",336,336
-9.84886577611701,1.807345945894,11.656211722011,-16.1708950968195,5.33343696336666e-22,52.3143441070356,-11.0708370207437,-8.62689453149035,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 61-70 age group","Yes","Firearm",336,336
-13.4969861629561,1.50127503341325,14.9982611963694,-14.503204670359,2.89010071149029e-19,48.5110934964753,-15.3676158501914,-11.6263564757209,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 71-80 age group","Yes","Firearm",336,336
-1.7042489200203,2.03327484030292,3.73752376032323,-6.00340551098782,3.82532237043368e-08,91.6983826159331,-2.26808452976085,-1.14041331027976,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 12–20 age group","Yes","Non-Firearm",336,336
-4.97083718397319,2.67830377823604,7.64914096220923,-12.3270332368968,1.60269790629293e-19,73.0615153734603,-5.7744955750148,-4.16717879293159,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 21–30 age group","Yes","Non-Firearm",336,336
-5.36186082170121,3.14967346414649,8.5115342858477,-12.1726537219584,9.76349030828785e-19,67.9590071527122,-6.24084282432546,-4.48287881907696,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 31–40 age group","Yes","Non-Firearm",336,336
-5.01954005693716,3.73252632749657,8.75206638443373,-10.4243543788847,3.48642999951141e-16,74.1832469677888,-5.97895116593957,-4.06012894793475,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 41–50 age group","Yes","Non-Firearm",336,336
-3.96104878566748,3.58421546494802,7.5452642506155,-9.03787101160173,1.526575253163e-13,73.3074278468162,-4.83446257178367,-3.0876349995513,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 51–60 age group","Yes","Non-Firearm",336,336
-1.79315842004076,2.54513535040069,4.33829377044144,-6.75119172104138,1.90879944248043e-09,82.3671477682119,-2.32149851536539,-1.26481832471612,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 61-70 age group","Yes","Non-Firearm",336,336
-1.84601178905509,2.05264545383817,3.89865724289326,-8.59637151417664,4.51897720847087e-13,82.1366075819144,-2.27319366010712,-1.41882991800306,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 71-80 age group","Yes","Non-Firearm",336,336
