"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"31","Males","1,784","14,478,076","12.32","--","60,656"
"31","Females","563","14,386,329","3.91","--","19,142"
"32","Males","1,706","14,365,015","11.88","--","56,298"
"32","Females","583","14,308,012","4.08","--","19,239"
"33","Males","1,665","14,140,911","11.77","--","53,280"
"33","Females","589","14,115,763","4.17","--","18,848"
"34","Males","1,687","13,953,390","12.09","--","52,297"
"34","Females","604","13,954,633","4.33","--","18,724"
"35","Males","1,652","13,766,489","12.00","--","49,560"
"35","Females","655","13,790,316","4.75","--","19,650"
"36","Males","1,734","13,730,920","12.63","--","50,286"
"36","Females","637","13,814,558","4.61","--","18,473"
"37","Males","1,756","13,884,445","12.65","--","49,168"
"37","Females","662","14,014,975","4.72","--","18,536"
"38","Males","1,700","14,114,209","12.05","--","45,900"
"38","Females","702","14,246,003","4.93","--","18,954"
"39","Males","1,936","14,287,995","13.55","--","50,336"
"39","Females","795","14,422,840","5.51","--","20,670"
"40","Males","1,878","14,295,467","13.14","--","46,950"
"40","Females","779","14,456,026","5.39","--","19,475"
"41","Males","1,921","14,403,228","13.34","--","46,104"
"41","Females","832","14,584,654","5.71","--","19,968"
"42","Males","2,090","14,570,203","14.34","--","48,070"
"42","Females","831","14,739,505","5.64","--","19,113"
"43","Males","1,985","14,780,803","13.43","--","43,670"
"43","Females","926","14,962,806","6.19","--","20,372"
"44","Males","2,065","14,834,316","13.92","--","43,365"
"44","Females","906","15,047,743","6.02","--","19,026"
"45","Males","2,102","14,854,368","14.15","--","42,040"
"45","Females","986","15,133,954","6.52","--","19,720"
"46","Males","2,268","15,001,731","15.12","--","43,092"
"46","Females","988","15,314,778","6.45","--","18,772"
"47","Males","2,194","15,251,362","14.39","--","39,492"
"47","Females","957","15,610,147","6.13","--","17,226"
"48","Males","2,263","15,489,883","14.61","--","38,471"
"48","Females","1,054","15,889,191","6.63","--","17,918"
"49","Males","2,418","15,633,885","15.47","--","38,688"
"49","Females","1,122","16,082,612","6.98","--","17,952"
"50","Males","2,314","15,569,557","14.86","--","34,710"
"50","Females","1,101","16,083,812","6.85","--","16,515"
"51","Males","2,339","15,521,618","15.07","--","32,746"
"51","Females","1,063","16,077,137","6.61","--","14,882"
"52","Males","2,193","15,339,427","14.30","--","28,509"
"52","Females","1,137","15,954,345","7.13","--","14,781"
"53","Males","2,071","15,179,481","13.64","--","24,852"
"53","Females","1,043","15,815,820","6.60","--","12,516"
"54","Males","2,035","14,950,865","13.61","--","22,385"
"54","Females","1,065","15,642,467","6.81","--","11,715"
"55","Males","1,973","14,482,734","13.62","--","19,730"
"55","Females","1,044","15,273,294","6.84","--","10,440"
"56","Males","1,875","14,129,436","13.27","--","16,875"
"56","Females","979","14,955,708","6.55","--","8,811"
"57","Males","1,691","13,717,540","12.33","--","13,528"
"57","Females","891","14,591,602","6.11","--","7,128"
"58","Males","1,615","13,322,070","12.12","--","11,305"
"58","Females","777","14,232,572","5.46","--","5,439"
"59","Males","1,465","12,880,705","11.37","--","8,790"
"59","Females","807","13,828,367","5.84","--","4,842"
"60","Males","1,409","12,422,689","11.34","--","7,045"
"60","Females","720","13,409,791","5.37","--","3,600"
"61","Males","1,145","12,234,150","9.36","--","4,580"
"61","Females","666","13,229,866","5.03","--","2,664"
"62","Males","982","11,654,564","8.43","--","2,946"
"62","Females","519","12,659,703","4.10","--","1,557"
"63","Males","859","10,984,765","7.82","--","1,718"
"63","Females","485","11,987,069","4.05","--","970"
"64","Males","777","10,477,775","7.42","--","777"
"64","Females","445","11,481,410","3.88","--","445"
"65","Males","728","10,027,174","7.26","--","0"
"65","Females","425","11,065,275","3.84","--","0"
"66","Males","636","9,443,198","6.74","--","0"
"66","Females","387","10,486,432","3.69","--","0"
"67","Males","575","8,755,921","6.57","--","0"
"67","Females","361","9,804,509","3.68","--","0"
"68","Males","508","7,986,396","6.36","--","0"
"68","Females","317","9,040,243","3.51","--","0"
"69","Males","421","7,587,876","5.55","--","0"
"69","Females","249","8,672,914","2.87","--","0"
"70","Males","399","7,147,991","5.58","--","0"
"70","Females","239","8,257,595","2.89","--","0"
"71","Males","401","6,733,978","5.96","--","0"
"71","Females","211","7,858,096","2.69","--","0"
"72","Males","339","6,212,397","5.46","--","0"
"72","Females","202","7,348,359","2.75","--","0"
"73","Males","338","5,855,163","5.77","--","0"
"73","Females","200","7,022,125","2.85","--","0"
"74","Males","304","5,494,926","5.53","--","0"
"74","Females","157","6,681,922","2.35","--","0"
"75","Males","288","5,136,072","5.61","--","0"
"75","Females","166","6,352,262","2.61","--","0"
"76","Males","269","4,854,183","5.54","--","0"
"76","Females","142","6,116,936","2.32","--","0"
"77","Males","247","4,562,740","5.41","--","0"
"77","Females","148","5,872,145","2.52","--","0"
"78","Males","231","4,321,472","5.35","--","0"
"78","Females","130","5,686,677","2.29","--","0"
"79","Males","232","4,058,516","5.72","--","0"
"79","Females","142","5,479,853","2.59","--","0"
"80","Males","244","3,766,953","6.48","--","0"
"80","Females","115","5,224,413","2.20","--","0"
"81","Males","213","3,537,625","6.02","--","0"
"81","Females","120","5,059,927","2.37","--","0"
"82","Males","244","3,259,498","7.49","--","0"
"82","Females","122","4,830,467","2.53","--","0"
"83","Males","201","2,990,102","6.72","--","0"
"83","Females","104","4,595,069","2.26","--","0"
"84","Males","178","2,695,602","6.60","--","0"
"84","Females","106","4,317,681","2.46","--","0"
"Total","","133,619","1,799,358,335","7.43","--","2,997,207"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2008 to 2014","","","","","",""
"Geography: United States","","","","","",""
"Intent: Suicide","","","","","",""
"Mechanism: Non-Firearm","","","","","",""
"Age: 12 to 84","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
