"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"67","Males","1,018","13,128,543","7.75","--","0"
"67","Females","606","14,641,057","4.14","--","0"
"68","Males","928","12,780,195","7.26","--","0"
"68","Females","563","14,333,920","3.93","--","0"
"69","Males","828","12,036,494","6.88","--","0"
"69","Females","533","13,591,800","3.92","--","0"
"70","Males","754","11,319,183","6.66","--","0"
"70","Females","481","12,881,422","3.73","--","0"
"71","Males","658","10,650,322","6.18","--","0"
"71","Females","430","12,223,224","3.52","--","0"
"72","Males","655","10,078,957","6.50","--","0"
"72","Females","371","11,659,399","3.18","--","0"
"73","Males","573","9,457,523","6.06","--","0"
"73","Females","340","11,015,831","3.09","--","0"
"74","Males","497","8,733,281","5.69","--","0"
"74","Females","320","10,292,166","3.11","--","0"
"75","Males","495","7,972,386","6.21","--","0"
"75","Females","293","9,526,894","3.08","--","0"
"76","Males","446","7,108,177","6.27","--","0"
"76","Females","263","8,646,414","3.04","--","0"
"77","Males","449","6,617,943","6.79","--","0"
"77","Females","233","8,170,518","2.85","--","0"
"78","Males","395","6,106,800","6.47","--","0"
"78","Females","216","7,665,736","2.82","--","0"
"79","Males","364","5,592,922","6.51","--","0"
"79","Females","213","7,151,472","2.98","--","0"
"80","Males","312","5,037,857","6.19","--","0"
"80","Females","161","6,588,940","2.44","--","0"
"81","Males","299","4,555,978","6.56","--","0"
"81","Females","170","6,104,635","2.79","--","0"
"82","Males","300","4,132,721","7.26","--","0"
"82","Females","132","5,685,681","2.32","--","0"
"83","Males","260","3,740,757","6.95","--","0"
"83","Females","122","5,295,634","2.30","--","0"
"84","Males","256","3,365,918","7.61","--","0"
"84","Females","136","4,921,087","2.76","--","0"
"Total","","177,890","2,185,803,715","8.14","--","4,023,669"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2015 to 2022","","","","","",""
"Geography: United States","","","","","",""
"Intent: Suicide","","","","","",""
"Mechanism: Non-Firearm","","","","","",""
"Age: 12 to 84","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
