"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"50","Females","516","16,795,617","3.07","--","7,740"
"51","Males","2,558","16,746,214","15.28","--","35,812"
"51","Females","563","16,976,986","3.32","--","7,882"
"52","Males","2,623","16,741,525","15.67","--","34,099"
"52","Females","555","17,046,542","3.26","--","7,215"
"53","Males","2,716","16,763,846","16.20","--","32,592"
"53","Females","604","17,152,303","3.52","--","7,248"
"54","Males","2,795","16,878,202","16.56","--","30,745"
"54","Females","612","17,360,641","3.53","--","6,732"
"55","Males","2,864","17,009,706","16.84","--","28,640"
"55","Females","543","17,586,635","3.09","--","5,430"
"56","Males","2,834","17,074,162","16.60","--","25,506"
"56","Females","575","17,733,809","3.24","--","5,175"
"57","Males","3,052","17,095,141","17.85","--","24,416"
"57","Females","557","17,843,937","3.12","--","4,456"
"58","Males","2,950","17,027,936","17.32","--","20,650"
"58","Females","596","17,857,754","3.34","--","4,172"
"59","Males","2,996","16,801,970","17.83","--","17,976"
"59","Females","540","17,711,708","3.05","--","3,240"
"60","Males","2,852","16,497,452","17.29","--","14,260"
"60","Females","491","17,492,742","2.81","--","2,455"
"61","Males","2,923","16,130,841","18.12","--","11,692"
"61","Females","506","17,222,845","2.94","--","2,024"
"62","Males","2,606","15,694,325","16.61","--","7,818"
"62","Females","423","16,874,683","2.51","--","1,269"
"63","Males","2,563","15,212,613","16.85","--","5,126"
"63","Females","425","16,475,474","2.58","--","850"
"64","Males","2,468","14,697,690","16.79","--","2,468"
"64","Females","445","16,044,774","2.77","--","445"
"65","Males","2,401","14,140,668","16.98","--","0"
"65","Females","358","15,559,147","2.30","--","0"
"66","Males","2,277","13,595,233","16.75","--","0"
"66","Females","346","15,068,284","2.30","--","0"
"67","Males","2,331","13,128,543","17.76","--","0"
"67","Females","320","14,641,057","2.19","--","0"
"68","Males","2,309","12,780,195","18.07","--","0"
"68","Females","335","14,333,920","2.34","--","0"
"69","Males","2,297","12,036,494","19.08","--","0"
"69","Females","307","13,591,800","2.26","--","0"
"70","Males","2,248","11,319,183","19.86","--","0"
"70","Females","258","12,881,422","2.00","--","0"
"71","Males","2,103","10,650,322","19.75","--","0"
"71","Females","252","12,223,224","2.06","--","0"
"72","Males","2,063","10,078,957","20.47","--","0"
"72","Females","240","11,659,399","2.06","--","0"
"73","Males","2,174","9,457,523","22.99","--","0"
"73","Females","235","11,015,831","2.13","--","0"
"74","Males","2,067","8,733,281","23.67","--","0"
"74","Females","219","10,292,166","2.13","--","0"
"75","Males","2,145","7,972,386","26.91","--","0"
"75","Females","183","9,526,894","1.92","--","0"
"76","Males","1,912","7,108,177","26.90","--","0"
"76","Females","182","8,646,414","2.11","--","0"
"77","Males","1,860","6,617,943","28.11","--","0"
"77","Females","167","8,170,518","2.04","--","0"
"78","Males","1,819","6,106,800","29.79","--","0"
"78","Females","138","7,665,736","1.80","--","0"
"79","Males","1,747","5,592,922","31.24","--","0"
"79","Females","121","7,151,472","1.69","--","0"
"80","Males","1,622","5,037,857","32.20","--","0"
"80","Females","110","6,588,940","1.67","--","0"
"81","Males","1,485","4,555,978","32.60","--","0"
"81","Females","95","6,104,635","1.56","--","0"
"82","Males","1,424","4,132,721","34.46","--","0"
"82","Females","78","5,685,681","1.37","--","0"
"83","Males","1,345","3,740,757","35.96","--","0"
"83","Females","83","5,295,634","1.57","--","0"
"84","Males","1,244","3,365,918","36.96","--","0"
"84","Females","60","4,921,087","1.22","--","0"
"Total","","186,863","2,185,803,715","8.55","--","3,491,648"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2015 to 2022","","","","","",""
"Geography: United States","","","","","",""
"Intent: Suicide","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: 12 to 84","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
