"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"51","Females","525","16,077,137","3.27","--","7,350"
"52","Males","2,535","15,339,427","16.53","--","32,955"
"52","Females","488","15,954,345","3.06","--","6,344"
"53","Males","2,544","15,179,481","16.76","--","30,528"
"53","Females","513","15,815,820","3.24","--","6,156"
"54","Males","2,545","14,950,865","17.02","--","27,995"
"54","Females","473","15,642,467","3.02","--","5,203"
"55","Males","2,428","14,482,734","16.77","--","24,280"
"55","Females","444","15,273,294","2.91","--","4,440"
"56","Males","2,458","14,129,436","17.40","--","22,122"
"56","Females","444","14,955,708","2.97","--","3,996"
"57","Males","2,279","13,717,540","16.61","--","18,232"
"57","Females","404","14,591,602","2.77","--","3,232"
"58","Males","2,318","13,322,070","17.40","--","16,226"
"58","Females","360","14,232,572","2.53","--","2,520"
"59","Males","2,216","12,880,705","17.20","--","13,296"
"59","Females","355","13,828,367","2.57","--","2,130"
"60","Males","2,118","12,422,689","17.05","--","10,590"
"60","Females","350","13,409,791","2.61","--","1,750"
"61","Males","2,090","12,234,150","17.08","--","8,360"
"61","Females","287","13,229,866","2.17","--","1,148"
"62","Males","1,751","11,654,564","15.02","--","5,253"
"62","Females","272","12,659,703","2.15","--","816"
"63","Males","1,768","10,984,765","16.10","--","3,536"
"63","Females","272","11,987,069","2.27","--","544"
"64","Males","1,766","10,477,775","16.86","--","1,766"
"64","Females","277","11,481,410","2.41","--","277"
"65","Males","1,618","10,027,174","16.14","--","0"
"65","Females","234","11,065,275","2.12","--","0"
"66","Males","1,603","9,443,198","16.98","--","0"
"66","Females","228","10,486,432","2.17","--","0"
"67","Males","1,437","8,755,921","16.41","--","0"
"67","Females","185","9,804,509","1.89","--","0"
"68","Males","1,468","7,986,396","18.38","--","0"
"68","Females","169","9,040,243","1.87","--","0"
"69","Males","1,412","7,587,876","18.61","--","0"
"69","Females","191","8,672,914","2.20","--","0"
"70","Males","1,429","7,147,991","19.99","--","0"
"70","Females","156","8,257,595","1.89","--","0"
"71","Males","1,300","6,733,978","19.31","--","0"
"71","Females","160","7,858,096","2.04","--","0"
"72","Males","1,267","6,212,397","20.40","--","0"
"72","Females","127","7,348,359","1.73","--","0"
"73","Males","1,337","5,855,163","22.84","--","0"
"73","Females","104","7,022,125","1.48","--","0"
"74","Males","1,217","5,494,926","22.15","--","0"
"74","Females","103","6,681,922","1.54","--","0"
"75","Males","1,199","5,136,072","23.35","--","0"
"75","Females","103","6,352,262","1.62","--","0"
"76","Males","1,158","4,854,183","23.86","--","0"
"76","Females","101","6,116,936","1.65","--","0"
"77","Males","1,124","4,562,740","24.63","--","0"
"77","Females","79","5,872,145","1.35","--","0"
"78","Males","1,107","4,321,472","25.62","--","0"
"78","Females","77","5,686,677","1.35","--","0"
"79","Males","1,136","4,058,516","27.99","--","0"
"79","Females","76","5,479,853","1.39","--","0"
"80","Males","1,083","3,766,953","28.75","--","0"
"80","Females","79","5,224,413","1.51","--","0"
"81","Males","1,113","3,537,625","31.46","--","0"
"81","Females","80","5,059,927","1.58","--","0"
"82","Males","1,022","3,259,498","31.36","--","0"
"82","Females","67","4,830,467","1.39","--","0"
"83","Males","1,014","2,990,102","33.91","--","0"
"83","Females","62","4,595,069","1.35","--","0"
"84","Males","946","2,695,602","35.09","--","0"
"84","Females","56","4,317,681","1.30","--","0"
"Total","","134,465","1,799,358,335","7.47","--","2,442,757"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2008 to 2014","","","","","",""
"Geography: United States","","","","","",""
"Intent: Suicide","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: 12 to 84","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
